索引	类别	原始问	英语	分词
9661	life-insurance	我的人寿保险政策多少钱？	How  Much  Is  My  Life  Insurance  Policy  Worth?	我 人寿保险 政策 多少 钱
9662	life-insurance	地球人寿保险费用多少？	How  Much  Does  Globe  Life  Insurance  Cost?	地球 人寿 保险费用 多少
9663	life-insurance	什么可以让你得到人寿保险？	What  Can  Keep  You  From  Getting  Life  Insurance?	什么 可以 让 你 得到 人寿保险
9664	life-insurance	我会在人寿保险上征税吗？	Will  I  Be  Taxed  On  Life  Insurance?	我会 在 人寿保险 上 征税
9665	home-insurance	房主保险是否领先？	Is  Homeowners  Insurance  Paid  Up  Front?	房主 保险 是否 领先
9666	retirement-plans	共同基金能否脱离企业？	Can  A  Mutual  Fund  Go  Out  Of  Business?	共同 基金 能否 脱离 企业
9667	renters-insurance	公寓楼可否要求你有租赁保险？	Can  An  Apartment  Complex  Require  You  To  Have  Renters  Insurance?	公寓楼 可否 要求 你 有 租赁 保险
9668	annuities	谁报价年金？	Who  Rates  Annuities?	谁 报价 年金
9669	disability-insurance	雇主多少支付残疾保险？	How  Much  Do  Employers  Pay  For  Disability  Insurance?	雇主 多少 支付 残疾 保险
9670	retirement-plans	你有不止一个退休计划吗？	Can  You  Have  More  Than  One  Retirement  Plan?	你 有 不止 一个 退休 计划
9671	medicare-insurance	医疗保险在威斯康星州为白内障手术付款吗？	Does  Medicare  Pay  For  Cataract  Surgery  In  Wisconsin?	医疗保险 在 威斯康星州 为 白内障 手术 付款
9672	life-insurance	谁创造全人寿保险？	Who  Created  Whole  Life  Insurance?	谁 创造 全 人寿保险
9673	annuities	当你死亡时，年金会怎样？	What  Happens  To  Annuities  When  You  Die?	当 你 死亡 时 年金 会 怎样
9674	life-insurance	有什么不同类型的人寿保险？	What  Different  Types  Of  Life  Insurance  Are  There?	有 什么 不同 类型 人寿保险
9675	retirement-plans	IRS考虑退休计划是什么？	What  Does  The  IRS  Consider  A  Retirement  Plan?	IRS 考虑 退休 计划 是 什么
9676	health-insurance	Aarp有集体健康保险吗？	Does  Aarp  Have  Group  Health  Insurance?	Aarp 有 集体 健康 保险
9677	medicare-insurance	医疗保险覆盖输精管切除术？	Will  Medicare  Cover  A  Vasectomy?	医疗保险 覆盖 输精管 切除术
9678	renters-insurance	为什么租客在蒙大拿州保险如此昂贵？	Why  Is  Renters  Insurance  So  Expensive  In  Montana?	为什么 租客 在 蒙大拿州 保险 如此 昂贵
9679	life-insurance	80岁的人寿保险多少？	How  Much  Is  Life  Insurance  For  An  80  Year  Old?	80 岁 人寿保险 多少
9680	health-insurance	亚利桑那州眼镜蛇健康保险有多少？	How  Much  Is  Cobra  Health  Insurance  In  Arizona?	亚利桑那州 眼镜蛇 健康 保险 有 多少
9681	medicare-insurance	何时可以购买Medigap保险？	When  Can  I  Buy  Medigap  Insurance?	何时 可以 购买 Medigap 保险
9682	medicare-insurance	何时可以切换Medigap策略？	When  Can  I  Switch  Medigap  Policies?	何时 可以 切换 Medigap 策略
9683	life-insurance	当我取消我的全人寿保险时会发生什么？	What  Happens  When  I  Cancel  My  Whole  Life  Insurance?	当 我 取消 我 全 人寿保险 时会 发生 什么
9684	annuities	什么时候买固定年金？	When  To  Buy  Fixed  Annuities?	什么 时候 买 固定 年金
9685	auto-insurance	你可以在没有保险的道路上保持汽车吗？	Can  You  Keep  A  Car  On  The  Road  Without  Insurance?	你 可以 在 没有 保险 道路 上 保持 汽车
9686	home-insurance	家庭保险是否覆盖虫害控制？	Does  Home  Insurance  Cover  Pest  Control?	家庭 保险 是否 覆盖 虫害 控制
9687	medicare-insurance	医疗费用一个月多少钱？	How  Much  Does  Medicare  Cost  A  Month?	医疗 费用 一个 月 多少 钱
9688	disability-insurance	集团残疾保险是否可扣税？	Is  Group  Disability  Insurance  Tax  Deductible?	集团 残疾 保险 是否 可 扣税
9689	disability-insurance	残疾保险如何运作？	How  Disability  Insurance  Works?	残疾 保险 如何 运作
9690	health-insurance	什么是我们第一健康保险公司？	What  Is  The  Number  One  Health  Insurance  Company  In  The  Us?	什么 是 我们 第一 健康 保险公司
9691	renters-insurance	有多少人有租金保险？	What  Percentage  Of  People  Have  Renters  Insurance?	有 多少 人 有 租金 保险
9692	long-term-care-insurance	长期护理保险是否为辅助生活支付？	Does  Long  Term  Care  Insurance  Pay  For  Assisted  Living?	长期 护理 保险 是否 为 辅助 生活 支付
9693	health-insurance	你可以保护你的健康保险吗？	Can  You  Keep  An  Ex-Spouse  On  Your  Health  Insurance?	你 可以 保护 你 健康 保险
9694	medicare-insurance	62岁可以获得医疗保险吗？	Can  You  Get  Medicare  At  Age  62?	62 岁 可以 获得 医疗保险
9695	life-insurance	死亡后如何找人寿保险？	How  To  Find  A  Life  Insurance  Policy  After  Death?	死亡 后 如何 找 人寿保险
9696	health-insurance	我的丈夫打破了他的手臂，我可以得到保险覆盖吗？	My  Husband  Just  Broke  His  Arm,  Can  I  Get  Insurance  To  Cover  It?	我 丈夫 打破 他 手臂 我 可以 得到 保险 覆盖
9697	health-insurance	HMO健康保险是什么意思？	What  Does  HMO  Health  Insurance  Mean?	HMO 健康 保险 是 什么 意思
9698	auto-insurance	如何早点取消汽车保险？	How  To  Cancel  Car  Insurance  Early?	如何 早点 取消 汽车保险
9699	life-insurance	为什么要购买全人寿保险？	Why  Would  I  Buy  Whole  Life  Insurance?	为什么 要 购买 全 人寿保险
9700	renters-insurance	值得租赁者保险吗？	Is  It  Worth  Getting  Renters  Insurance?	值得 租赁者 保险
9701	home-insurance	拥有狗会影响房主保险吗？	Does  Owning  A  Dog  Affect  Homeowners  Insurance?	拥有 狗 会 影响 房主 保险
9702	life-insurance	人寿保险中UL是什么意思？	What  Does  UL  Mean  In  Life  Insurance?	人寿保险 中 UL 是 什么 意思
9703	life-insurance	有没有任何理由购买全人寿保险？	Is  There  Any  Reason  To  Buy  Whole  Life  Insurance?	有 没有 任何理由 购买 全 人寿保险
9704	disability-insurance	残疾保险可否在附表C中扣除？	Is  Disability  Insurance  Tax  Deductible  On  Schedule  C?	残疾 保险 可 否 在 附表 C 中 扣除
9705	auto-insurance	DUI后我的车险怎么办？	What  Happens  To  My  Car  Insurance  After  A  DUI?	DUI 后 我 车险 怎么办
9706	life-insurance	什么是双人寿保险？	What  Is  Dual  Life  Insurance?	什么 是 双 人寿保险
9707	home-insurance	房主保险和家庭保修的区别是什么？	What  Is  The  Difference  Between  Homeowners  Insurance  And  Home  Warranty?	房主 保险 和 家庭 保修 区别 是 什么
9708	medicare-insurance	医疗保险何时支付家庭保健费用？	When  Does  Medicare  Pay  For  Home  Health  Care?	医疗保险 何时 支付 家庭保健 费用
9709	long-term-care-insurance	你买什么年龄的长期护理保险？	What  Age  Do  You  Buy  Long  Term  Care  Insurance?	你 买 什么 年龄 长期 护理 保险
9710	health-insurance	你能得到一个月的健康保险吗	Can  You  Get  Health  Insurance  For  A  Month?	你 能 得到 一个 月 健康 保险
9711	health-insurance	健康保险是否覆盖乳房泵？	Does  Health  Insurance  Cover  A  Breast  Pump?	健康 保险 是否 覆盖 乳房 泵
9712	auto-insurance	加拿大人可以得到美国汽车保险吗？	Can  A  Canadian  Get  American  Car  Insurance?	加拿大人 可以 得到 美国 汽车保险
9713	auto-insurance	我租车时应该买什么保险？	What  Insurance  Should  I  Get  When  I  Rent  A  Car?	我 租车 时 应该 买 什么 保险
9714	critical-illness-insurance	我应该在加利福尼亚购买严重疾病保险？	Where  Should  I  Buy  Critical  Illness  Insurance  In  California?	我 应该 在 加利福尼亚 购买 严重 疾病 保险
9715	medicare-insurance	如何比较Medigap保险计划？	How  To  Compare  Medigap  Insurance  Plans?	如何 比较 Medigap 保险 计划
9716	health-insurance	企业要提供健康保险吗？	Will  Businesses  Have  To  Provide  Health  Insurance?	企业 要 提供 健康 保险
9717	life-insurance	什么是双重赔偿人寿保险？	What  Is  Double  Indemnity  Life  Insurance?	什么 是 双重 赔偿 人寿保险
9718	home-insurance	家庭保险是否覆盖油箱清除？	Does  Home  Insurance  Cover  Oil  Tank  Removal?	家庭 保险 是否 覆盖 油箱 清除
9719	disability-insurance	为什么残疾保险这么昂贵？	Why  Is  Disability  Insurance  So  Expensive?	为什么 残疾 保险 这么 昂贵
9720	life-insurance	什么是信赖人寿保险？	What  Is  Reliance  Life  Insurance?	什么 是 信赖 人寿保险
9721	health-insurance	健康保险交换如何工作？	How  Does  A  Health  Insurance  Exchange  Work?	健康 保险 交换 如何 工作
9722	life-insurance	有81岁的人有健康吗？	Is  There  Any  Insurance  Available  For  People,  In  Good  Health  At  81  Years  Old?	有 81 岁 人 有 健康
9723	long-term-care-insurance	哪些长期护理保险是最好的？	Which  Long  Term  Care  Insurance  Is  Best?	哪些 长期 护理 保险 是 最好
9724	annuities	年金如何运作？	How  Do  Annuities  Operate?	年金 如何 运作
9725	auto-insurance	我可以在哪里比较汽车保险报价？	Where  Can  I  Compare  Car  Insurance  Quotes?	我 可以 在 哪里 比较 汽车保险 报价
9726	retirement-plans	养老金计划可以转移吗？	Can  Pension  Plans  Be  Transferred?	养老金 计划 可以 转移
9727	home-insurance	房主保险多少？	How  Much  Is  Homeowners  Insurance?	房主 保险 多少
9728	medicare-insurance	医疗保险部分A需要多少支付？	How  Much  Will  I  Pay  For  Medicare  Part  A?	医疗保险 部分 A 需要 多少 支付
9729	retirement-plans	如何计划退休迟到生活？	How  To  Plan  For  Retirement  Late  In  Life?	如何 计划 退休 迟到 生活
9730	health-insurance	谁为患有囊性纤维化的人提供健康保险？	Who  Offers  Health  Insurance  To  People  With  Cystic  Fibrosis?	谁 为 患有 囊 性 纤维化 人 提供 健康 保险
9731	life-insurance	如何索赔人寿保险金？	How  To  Claim  Life  Insurance  Money?	如何 索赔 人寿保险 金
9732	life-insurance	什么是人寿保险包裹？	What  Is  Life  Insurance  Wrapper?	什么 是 人寿保险 包裹
9733	medicare-insurance	谁是主要医疗保险或集团？	Who  Is  Primary  Medicare  Or  Group?	谁 是 主要 医疗保险 或 集团
9734	disability-insurance	我可以得到残疾保险吗？	Can  I  Get  Disability  Insurance?	我 可以 得到 残疾 保险
9735	medicare-insurance	何时购买医疗保险补充保险？	When  To  Buy  Medicare  Supplemental  Insurance?	何时 购买 医疗保险 补充 保险
9736	home-insurance	基本家庭保险是什么覆盖？	What  Does  Basic  Home  Insurance  Cover?	基本 家庭 保险 是 什么 覆盖
9737	health-insurance	你有什么健康保险？	What  Do  You  Get  With  Health  Insurance?	你 有 什么 健康 保险
9738	auto-insurance	我可以把汽车保险换成另一辆车吗？	Can  I  Switch  My  Car  Insurance  To  Another  Vehicle?	我 可以 把 汽车保险 换成 另 一 辆车
9739	auto-insurance	汽车保险公司如何支付索赔？	How  To  Get  An  Auto  Insurance  Company  To  Pay  A  Claim?	汽车 保险公司 如何 支付 索赔
9740	medicare-insurance	AARP Medigap保险有多好？	How  Good  Is  AARP  Medigap  Insurance?	AARP Medigap 保险 有 多 好
9741	retirement-plans	Roth IRA和401K的最大贡献是什么？	What  Is  The  Maximum  Contribution  For  A  Roth  IRA  And  A  401K)  Plan?	Roth IRA 和 401 K 最大 贡献 是 什么
9742	medicare-insurance	Zostavax是由Medicare Part D涵盖吗？	Is  Zostavax  Covered  By  Medicare  Part  D?	Zostavax 是 由 Medicare Part D 涵盖
9743	life-insurance	在罗德岛考虑社区财产的人寿保险？	Is  Life  Insurance  Considered  Community  Property  In  Rhode  Island?	在 罗德岛 考虑 社区 财产 人寿保险
9744	disability-insurance	为什么我应该有残疾保险？	Why  Should  I  Have  Disability  Insurance?	为什么 我 应该 有 残疾 保险
9745	home-insurance	如何价值重建家庭保险？	How  To  Value  Rebuilding  Home  For  Insurance?	如何 价值 重建 家庭 保险
9746	annuities	固定年金是否投资良好？	Is  A  Fixed  Annuity  A  Good  Investment?	固定 年金 是否 投资 良好
9747	long-term-care-insurance	我可以为我的父母购买长期护理保险吗？	Can  I  Purchase  Long  Term  Care  Insurance  For  My  Parents?	我 可以 为 我 父母 购买 长期 护理 保险
9748	retirement-plans	如何选择退休计划？	How  To  Choose  A  Retirement  Planner?	如何 选择 退休 计划
9749	other-insurance	为什么我需要学士学位才能成为保险代理人？	Why  do  I  need  a  bachelors  degree  to  become  an  insurance  agent?	为什么 我 需要 学士学位 才能 成为 保险 代理人
9750	health-insurance	雇主何时需要提供健康保险？	When  Are  Employers  Required  To  Provide  Health  Insurance?	雇主 何时 需要 提供 健康 保险
9751	medicare-insurance	为什么要购买Medigap政策？	Why  Should  I  Buy  A  Medigap  Policy?	为什么 要 购买 Medigap 政策
9752	auto-insurance	您可以等待多长时间来提供汽车保险索赔？	How  Long  Can  You  Wait  To  Make  A  Car  Insurance  Claim?	您 可以 等待 多长时间 来 提供 汽车保险 索赔
9753	health-insurance	什么是终身负担私人健康保险？	What  Is  Lifetime  Loading  On  Private  Health  Insurance?	什么 是 终身 负担 私人 健康 保险
9754	medicare-insurance	医疗保险部分B是否支付眼镜？	Does  Medicare  Part  B  Pay  For  Glasses?	医疗保险 部分 B 是否 支付 眼镜
9755	home-insurance	索赔后如何获得房主保险？	How  To  Get  Homeowners  Insurance  After  A  Claim?	索赔 后 如何 获得 房主 保险
9756	long-term-care-insurance	您可以为家长购买长期护理保险吗？	Can  You  Buy  Long  Term  Care  Insurance  For  Parents?	您 可以 为 家长 购买 长期 护理 保险
9757	medicare-insurance	如何注册医疗保险？	How  Do  You  Sign  Up  For  Medicare?	如何 注册 医疗保险
9758	disability-insurance	可以在家呆在家里得到残疾保险吗？	Can  A  Stay  At  Home  Mom  Get  Disability  Insurance?	可以 在家 呆 在 家里 得到 残疾 保险
